,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
1348728,GALAXY,0.2575178,42.15286,60.87182,4.188519,6.718572,21.15748,19.35146,17.85638,17.24786,16.9261
359632,QSO,1.800019,1.669891,1.507344,0.8549432,1.141556,21.79485,21.53889,21.68467,21.53489,21.32483
782647,STAR,-0.0002002903,5.563617,11.89189,0.001546351,0.3004863,25.61808,23.79329,22.18422,20.59948,19.78015
595803,STAR,-0.0006967166,17.20105,16.45446,6.442521,10.73783,20.70266,19.84148,19.49111,19.37185,19.28868
1117104,GALAXY,0.6115218,7.27384,13.14401,-0.0906094,0.2691903,25.19823,23.38464,21.2604,20.03845,19.27284
1407565,GALAXY,0.3418683,17.21782,24.97756,0.7023647,2.207024,22.35542,20.95588,19.1297,18.52911,18.18201
899727,STAR,0.0001131612,5.708444,4.82247,4.210627,5.470135,20.9123,20.44227,20.53668,20.7557,21.12701
560906,STAR,-0.0005936847,89.69799,93.65215,41.21238,61.41158,19.0521,17.8449,17.618,17.56347,17.53123
1317504,GALAXY,0.3610494,25.37229,35.58501,0.6806374,2.338962,24.35493,20.62707,18.83225,18.29373,17.80392
702662,STAR,-0.0005099112,4.558067,7.222434,0.007894602,0.4204713,24.79583,22.5433,21.43534,20.66534,20.34064
360944,QSO,2.319153,2.741112,4.136427,0.7281804,1.879778,22.79952,21.87999,21.89017,21.549,20.79333
862873,STAR,-0.0001575257,197.7828,339.3537,2.098954,15.79193,22.34899,19.38404,17.88854,16.7035,16.06116
188633,QSO,1.008539,17.18485,16.57712,10.07359,12.63265,19.54313,19.44138,19.25785,19.34426,19.38593
381215,QSO,0.2291664,73.50883,85.93076,24.22072,26.78647,18.55733,18.1187,17.29021,16.82266,16.54596
18753,QSO,2.34548,2.452422,2.434284,1.401489,2.341761,22.36094,21.8174,21.71478,21.56607,20.89483
195116,QSO,2.610204,3.789568,4.226033,2.016421,3.305372,22.36056,21.04863,20.85446,20.95149,20.77965
1127948,GALAXY,0.188357,14.85285,13.18143,11.84998,12.47778,19.67202,19.31543,18.88755,18.78844,19.11971
706234,STAR,5.2733e-05,535.0364,560.498,167.9806,326.1104,17.32531,16.16267,15.79722,15.64714,15.62703
280225,QSO,0.8827549,4.847938,7.058034,1.285866,2.342336,22.37974,21.52676,20.96711,20.6347,20.32108
1381293,GALAXY,0.432086,15.87137,23.48551,0.2008246,1.436442,24.35628,21.67302,19.64442,18.8913,18.35614
